Date,Open,High,Low,Close,Adj Close,Volume
2023-08-04,776.450012,779.900024,768.750000,775.250000,771.937988,2758619
2023-08-07,777.049988,794.650024,771.200012,791.400024,788.019043,4175164
2023-08-08,793.750000,805.000000,764.299988,784.200012,780.849792,11993737
2023-08-09,792.700012,806.849976,784.000000,791.099976,787.720276,7007648
2023-08-10,793.000000,819.799988,792.000000,802.799988,799.370300,8064730
2023-08-11,806.900024,810.450012,794.250000,801.049988,797.627747,9040236
2023-08-14,781.000000,794.200012,771.099976,787.150024,783.787170,17841454
2023-08-16,786.000000,786.000000,772.450012,776.099976,772.784363,11481440
2023-08-17,778.000000,813.599976,776.849976,809.650024,806.191040,14011644
2023-08-18,807.000000,849.599976,804.299988,835.900024,832.328918,22502392
2023-08-21,840.099976,864.099976,838.500000,858.150024,854.483887,17432300
2023-08-22,863.900024,869.000000,853.349976,854.500000,850.849426,8037324
2023-08-23,858.549988,862.450012,820.099976,825.700012,822.172485,4748732
2023-08-24,834.000000,844.400024,820.200012,822.349976,818.836792,4692796
2023-08-25,823.000000,830.400024,803.500000,806.599976,803.154053,4442243
2023-08-28,816.000000,824.000000,798.500000,807.450012,804.000427,5067265
2023-08-29,809.500000,830.799988,800.049988,823.549988,820.031677,5935085
2023-08-30,828.000000,833.000000,816.599976,818.700012,815.202393,8592012
2023-08-31,803.900024,810.900024,787.700012,792.200012,788.815613,9998925
2023-09-01,780.000000,808.000000,779.650024,799.500000,796.084412,11900199
2023-09-04,807.549988,811.750000,795.549988,801.049988,797.627747,12522148
2023-09-05,805.000000,810.900024,797.500000,804.950012,801.511108,10483413
2023-09-06,806.000000,808.500000,800.450012,807.049988,803.602112,6729598
2023-09-07,809.700012,812.950012,805.049988,809.900024,806.440002,9787939
2023-09-08,810.900024,828.799988,810.150024,825.000000,821.475464,11683222
2023-09-11,840.000000,887.200012,835.000000,882.450012,878.680054,20638175
2023-09-12,889.500000,889.500000,853.049988,858.750000,855.081299,8036897
2023-09-13,859.000000,867.200012,843.150024,849.700012,846.069946,7180448
2023-09-14,854.049988,857.849976,841.000000,849.799988,846.169495,6234825
2023-09-15,846.000000,854.599976,841.500000,845.650024,842.037292,4013431
2023-09-18,848.049988,848.049988,828.150024,831.250000,827.698792,2801202
2023-09-20,832.000000,837.599976,815.000000,818.049988,814.555115,3016411
2023-09-21,821.150024,842.400024,820.000000,831.099976,827.549377,6437320
2023-09-22,833.900024,838.700012,822.099976,827.049988,823.516724,3156509
2023-09-25,828.700012,831.700012,818.950012,825.650024,822.122742,2395763
2023-09-26,826.099976,831.000000,819.000000,821.349976,817.841064,1569635
2023-09-27,825.799988,833.000000,821.500000,830.700012,827.151123,2463842
2023-09-28,833.250000,841.349976,819.150024,823.099976,819.583557,5057959
2023-09-29,826.500000,832.500000,822.299988,825.150024,821.624878,1468496
2023-10-03,826.000000,836.750000,824.250000,831.400024,827.848145,2453090
2023-10-04,830.950012,845.450012,819.349976,824.599976,821.077148,4096647
2023-10-05,830.849976,832.000000,820.250000,825.200012,821.674622,2083505
2023-10-06,830.000000,836.500000,826.400024,830.750000,827.200928,1877058
2023-10-09,815.000000,818.799988,785.000000,790.049988,786.674744,5994282
2023-10-10,800.549988,823.700012,800.549988,819.500000,815.998962,7591327
2023-10-11,827.400024,827.400024,812.349976,814.849976,811.368774,3281387
2023-10-12,818.549988,823.250000,812.549988,814.950012,811.468384,2563606
2023-10-13,812.000000,824.799988,805.849976,813.750000,810.273499,3801000
2023-10-16,818.500000,818.500000,803.250000,805.650024,802.208130,2664794
2023-10-17,812.000000,814.400024,804.000000,805.099976,801.660461,2162192
2023-10-18,808.950012,809.049988,795.400024,798.599976,795.188232,2271927
2023-10-19,796.750000,797.299988,787.450012,792.849976,789.462769,2862500
2023-10-20,791.799988,803.000000,788.650024,793.650024,790.259399,2434862
2023-10-23,793.650024,795.799988,769.900024,771.450012,768.154236,2002377
2023-10-25,772.500000,783.349976,761.049988,769.099976,765.814270,2581498
2023-10-26,764.000000,771.799988,754.500000,770.349976,767.058899,3855358
2023-10-27,774.900024,786.400024,773.049988,782.400024,779.057495,2995404
2023-10-30,785.900024,794.400024,779.799988,785.000000,781.646362,3522068
2023-10-31,789.799988,791.099976,782.500000,784.750000,781.397400,2825760
2023-11-01,784.750000,790.500000,767.200012,769.099976,765.814270,2693768
2023-11-02,776.900024,783.500000,772.049988,774.299988,770.992065,1741799
2023-11-03,780.000000,798.799988,777.299988,795.400024,792.001953,4310765
2023-11-06,801.500000,806.250000,799.299988,802.500000,799.071594,2270316
2023-11-07,803.000000,808.400024,796.000000,797.549988,794.142700,2394891
2023-11-08,802.000000,823.799988,800.049988,818.700012,815.202393,5123208
2023-11-09,825.000000,827.700012,798.099976,806.200012,802.755798,4982049
2023-11-10,808.000000,818.799988,806.200012,808.599976,805.145508,3903183
2023-11-13,810.000000,828.000000,807.500000,809.849976,806.390137,1050882
2023-11-15,818.000000,818.000000,809.049988,810.750000,807.286316,1694698
2023-11-16,814.400024,818.400024,808.099976,813.599976,810.124146,1689762
2023-11-17,811.700012,821.950012,809.049988,810.049988,806.589294,3218979
2023-11-20,810.049988,816.000000,801.099976,803.599976,800.166870,3227659
2023-11-21,805.000000,814.900024,799.299988,801.349976,797.926453,3643664
2023-11-22,804.000000,804.950012,788.549988,791.900024,788.516907,3212329
2023-11-23,795.000000,804.700012,791.450012,793.099976,789.711731,3776615
2023-11-24,795.900024,802.950012,785.000000,795.549988,792.151245,4421350
2023-11-28,806.000000,854.400024,806.000000,837.700012,834.121216,15929818
2023-11-29,850.000000,850.000000,833.299988,835.549988,831.980408,8057644
2023-11-30,839.000000,839.000000,823.000000,825.500000,821.973328,5998210
2023-12-01,839.200012,839.200012,825.500000,827.799988,824.263489,2932775
2023-12-04,865.000000,883.349976,858.500000,878.650024,874.896301,11064795
2023-12-05,884.000000,1024.300049,880.000000,1013.099976,1008.771851,46564412
2023-12-06,1045.000000,1082.500000,1008.099976,1017.950012,1013.601135,41008947
2023-12-07,1029.000000,1058.750000,1021.650024,1039.650024,1035.208496,14840081
2023-12-08,1048.000000,1055.000000,992.299988,1022.950012,1018.579773,12202462
2023-12-11,1026.800049,1048.000000,1015.650024,1031.900024,1027.491577,7889666
2023-12-12,1037.050049,1048.449951,1023.250000,1041.949951,1037.498535,4902289
2023-12-13,1045.000000,1075.000000,1028.800049,1063.500000,1058.956543,8151639
2023-12-14,1080.000000,1089.900024,1063.000000,1074.699951,1070.108643,8004131
2023-12-15,1079.000000,1086.500000,1067.050049,1078.550049,1073.942261,11672787
2023-12-18,1079.000000,1102.400024,1072.750000,1094.300049,1089.625000,5448342
2023-12-19,1095.000000,1099.000000,1068.599976,1074.000000,1069.411743,5993252
2023-12-20,1078.000000,1083.849976,1005.000000,1012.150024,1007.825928,8467564
2023-12-21,996.150024,1028.000000,989.250000,1018.950012,1014.596863,5352057
2023-12-22,1034.000000,1050.949951,1019.000000,1027.500000,1023.110352,5252106
2023-12-26,1034.099976,1041.000000,1026.099976,1028.750000,1024.354980,2176775
2023-12-27,1037.000000,1037.050049,1018.000000,1024.400024,1020.023621,2803997
2023-12-28,1029.550049,1031.199951,1014.650024,1016.950012,1012.605408,4865603
2023-12-29,1021.799988,1034.900024,1017.599976,1024.349976,1019.973816,2429250
2024-01-01,1026.550049,1057.949951,1023.000000,1047.849976,1043.373413,3989711
2024-01-02,1047.849976,1082.900024,1031.099976,1078.400024,1073.792969,6344621
2024-01-03,1105.000000,1144.000000,1062.750000,1094.250000,1089.575195,33060778
2024-01-04,1117.000000,1131.000000,1103.550049,1123.199951,1118.401489,9771995
2024-01-05,1129.099976,1160.000000,1125.400024,1154.250000,1149.318848,10622789
2024-01-08,1160.000000,1182.000000,1152.000000,1168.849976,1163.856445,8760094
2024-01-09,1182.000000,1229.900024,1178.500000,1197.099976,1191.985718,14701104
2024-01-10,1220.000000,1220.000000,1197.000000,1214.349976,1209.162109,7036728
2024-01-11,1221.000000,1223.599976,1200.000000,1202.949951,1197.810791,3721202
2024-01-12,1210.400024,1218.750000,1201.050049,1207.099976,1201.942993,3912779
2024-01-15,1214.000000,1215.349976,1189.099976,1203.099976,1197.960083,2825654
2024-01-16,1203.599976,1212.000000,1186.800049,1193.349976,1188.251831,3173587
2024-01-17,1180.000000,1204.699951,1159.449951,1166.849976,1161.864990,5268593
2024-01-18,1171.050049,1184.300049,1143.449951,1154.050049,1149.119751,5918594
2024-01-19,1162.250000,1166.800049,1150.000000,1152.449951,1147.526489,2732559
2024-01-23,1199.150024,1207.199951,1130.250000,1137.099976,1132.242065,7201014
2024-01-24,1138.000000,1146.750000,1118.349976,1120.599976,1115.812622,18373913
2024-01-25,1122.150024,1155.750000,1111.599976,1146.300049,1141.402832,4305042
2024-01-29,1155.000000,1204.900024,1151.000000,1196.650024,1191.537720,6768033
2024-01-30,1200.000000,1217.199951,1181.000000,1187.349976,1182.277466,4683729
2024-01-31,1195.800049,1214.250000,1191.650024,1207.650024,1202.490723,5510242
2024-02-01,1213.599976,1239.500000,1200.300049,1218.849976,1213.642822,7433628
2024-02-02,1233.050049,1287.500000,1231.699951,1261.449951,1256.060791,10450227
2024-02-05,1269.500000,1291.250000,1248.849976,1258.550049,1253.173340,5611298
2024-02-06,1266.000000,1284.599976,1248.849976,1273.099976,1267.661133,4408002
2024-02-07,1280.000000,1286.349976,1252.150024,1255.650024,1250.285645,3359763
2024-02-08,1264.050049,1264.500000,1236.750000,1245.199951,1239.880249,3354609
2024-02-09,1252.599976,1275.500000,1232.099976,1271.500000,1266.067993,3538164
2024-02-12,1278.000000,1279.750000,1243.900024,1249.349976,1244.012573,2204823
2024-02-13,1249.949951,1271.000000,1226.650024,1264.800049,1259.396606,2245009
2024-02-14,1261.949951,1281.550049,1248.650024,1267.849976,1262.433472,3382943
2024-02-15,1275.000000,1277.550049,1262.099976,1267.050049,1261.636963,3382824
2024-02-16,1269.800049,1311.000000,1265.550049,1306.849976,1301.266846,5476230
2024-02-19,1313.400024,1327.000000,1302.150024,1307.000000,1301.416260,2700240
2024-02-20,1311.000000,1312.900024,1293.699951,1300.500000,1294.944092,1856718
2024-02-21,1304.800049,1315.000000,1281.449951,1291.000000,1285.484619,2770510
2024-02-22,1296.000000,1317.000000,1281.000000,1310.949951,1305.349365,2556009
2024-02-23,1312.050049,1332.000000,1298.000000,1320.699951,1315.057739,2924829
2024-02-26,1320.000000,1343.000000,1316.750000,1338.150024,1332.433228,2802425
2024-02-27,1336.849976,1339.199951,1314.250000,1329.449951,1323.770264,2197456
2024-02-28,1334.500000,1334.900024,1295.150024,1299.500000,1293.948364,2121625
2024-02-29,1300.000000,1329.900024,1293.050049,1320.500000,1314.858643,2672239
2024-03-01,1335.000000,1349.000000,1312.400024,1322.099976,1316.451782,3301090
2024-03-04,1345.250000,1356.550049,1336.400024,1342.599976,1336.864136,2170214
2024-03-05,1344.050049,1354.949951,1334.000000,1338.300049,1332.582642,1815438
